Time (s)	frameDisplacement_B1 (mm)	frameDisplacement_B2 (mm)	frameDisplacement_B3 (mm)	Avg. frameDisplacement (mm)	blobDistance_B12 (mm)	blobDistance_B13 (mm)	blobDistance_B23 (mm)	blobDisplacement_B12 (mm)	blobDisplacement_B13 (mm)	blobDisplacement_B23 (mm)	Avg. blobDisplacement (mm)
6.80000000	0.00085776	0.00261452	0.00062777	0.00136668	0.78150350	1.72744009	0.95467530	0.00099320	0.00052748	-0.00108201	0.00014622	
6.90000000	0.00159688	0.00043208	0.00075629	0.00092842	0.78239074	1.72886296	0.95585500	0.00188043	0.00195035	0.00009769	0.00130949	
7.00000000	0.00051924	0.00070127	0.00024623	0.00048891	0.78100043	1.72725244	0.95546206	0.00049012	0.00033983	-0.00029525	0.00017823	
7.10000000	0.00072957	0.00138147	0.00032527	0.00081210	0.78168755	1.72696739	0.95479469	0.00117724	0.00005478	-0.00096263	0.00008980	
7.20000000	0.00084359	0.00022893	0.00191013	0.00099422	0.78118148	1.72866369	0.95664765	0.00067118	0.00175108	0.00089034	0.00110420	
7.30000000	0.00106639	0.00113401	0.00081862	0.00100634	0.78054273	1.72717346	0.95588046	0.00003242	0.00026085	0.00012315	0.00013881	
7.40000000	0.00138807	0.00056331	0.00114702	0.00103280	0.78089721	1.72792970	0.95642171	0.00038690	0.00101708	0.00066440	0.00068946	
7.50000000	0.00124636	0.00053226	0.00142360	0.00106741	0.78178640	1.72905532	0.95663986	0.00127609	0.00214270	0.00088255	0.00143378	
7.60000000	0.00076093	0.00141664	0.00145055	0.00120937	0.78160334	1.72545972	0.95333614	0.00109303	-0.00145289	-0.00242117	-0.00092701	
7.70000000	0.00115196	0.00084526	0.00152205	0.00117309	0.78172667	1.72778239	0.95558434	0.00121636	0.00086977	-0.00017298	0.00063772	
7.80000000	0.00088096	0.00155141	0.00104819	0.00116018	0.78147795	1.72730975	0.95531425	0.00096764	0.00039713	-0.00044307	0.00030724	
7.90000000	0.00088096	0.00155141	0.00104819	0.00116018	0.78147795	1.72730975	0.95531425	0.00096764	0.00039713	-0.00044307	0.00030724	
8.00000000	0.00028812	0.00260332	0.00175751	0.00154965	0.78045957	1.72488562	0.95434920	-0.00005073	-0.00202699	-0.00140812	-0.00116195	
8.10000000	0.00028812	0.00260332	0.00175751	0.00154965	0.78045957	1.72488562	0.95434920	-0.00005073	-0.00202699	-0.00140812	-0.00116195	
8.20000000	0.00062326	0.00043482	0.00138474	0.00081427	0.78073815	1.72831435	0.95669418	0.00022784	0.00140174	0.00093686	0.00085548	
8.30000000	0.00101737	0.00178452	0.00028303	0.00102831	0.78053878	1.72733184	0.95566859	0.00002847	0.00041923	-0.00008872	0.00011966	
8.40000000	0.00101737	0.00178452	0.00028303	0.00102831	0.78053878	1.72733184	0.95566859	0.00002847	0.00041923	-0.00008872	0.00011966	
8.50000000	0.00136161	0.00110137	0.00211036	0.00152444	0.78130583	1.72647738	0.95479015	0.00079553	-0.00043524	-0.00096717	-0.00020229	
8.60000000	0.00136161	0.00110137	0.00211036	0.00152444	0.78130583	1.72647738	0.95479015	0.00079553	-0.00043524	-0.00096717	-0.00020229	
8.70000000	0.00086238	0.00076616	0.00137917	0.00100257	0.78149191	1.72637605	0.95441798	0.00098161	-0.00053656	-0.00133934	-0.00029810	
8.80000000	0.00086238	0.00076616	0.00137917	0.00100257	0.78149191	1.72637605	0.95441798	0.00098161	-0.00053656	-0.00133934	-0.00029810	
8.90000000	0.00049996	0.00177134	0.00049136	0.00092089	0.78092947	1.72720822	0.95598216	0.00041917	0.00029561	0.00022485	0.00031321	
9.00000000	0.00123657	0.00091509	0.00103973	0.00106380	0.78185091	1.72716093	0.95450525	0.00134060	0.00024831	-0.00125207	0.00011228	
9.10000000	0.00141674	0.00134593	0.00134911	0.00137059	0.78158847	1.72661516	0.95459148	0.00107816	-0.00029745	-0.00116583	-0.00012837	
9.20000000	0.00038508	0.00175694	0.00031962	0.00082055	0.78154287	1.72697665	0.95514033	0.00103256	0.00006404	-0.00061698	0.00015987	
9.30000000	0.00052178	0.00098795	0.00189875	0.00113616	0.77973972	1.72514468	0.95495700	-0.00077058	-0.00176793	-0.00080031	-0.00111294	
9.40000000	0.00067189	0.00221414	0.00082413	0.00123672	0.78150050	1.72766152	0.95588934	0.00099019	0.00074890	0.00013202	0.00062371	
9.50000000	0.00146025	0.00152404	0.00192570	0.00163666	0.78175707	1.72677820	0.95477393	0.00124677	-0.00013441	-0.00098338	0.00004299	
9.60000000	0.00075136	0.00204340	0.00054253	0.00111243	0.78198092	1.72713623	0.95496853	0.00147062	0.00022362	-0.00078879	0.00030182	
9.70000000	0.00101117	0.00197958	0.00121757	0.00140277	0.78189899	1.72625103	0.95402653	0.00138868	-0.00066158	-0.00173078	-0.00033456	
9.80000000	0.00075846	0.00148570	0.00040428	0.00088281	0.78117465	1.72716805	0.95557333	0.00066434	0.00025543	-0.00018398	0.00024527	
9.90000000	0.00072462	0.00044911	0.00047245	0.00054873	0.78007186	1.72701047	0.95629592	-0.00043844	0.00009785	0.00053861	0.00006601	
10.00000000	0.00066949	0.00148701	0.00107857	0.00107836	0.78133217	1.72688771	0.95528131	0.00082186	-0.00002491	-0.00047600	0.00010698	
10.10000000	0.00121324	0.00062240	0.00112030	0.00098532	0.78104894	1.72677725	0.95511951	0.00053864	-0.00013536	-0.00063780	-0.00007817	
10.20000000	0.00052021	0.00181229	0.00155772	0.00129674	0.78052681	1.72592867	0.95514495	0.00001650	-0.00098394	-0.00061236	-0.00052660	
10.30000000	0.00052021	0.00181229	0.00155772	0.00129674	0.78052681	1.72592867	0.95514495	0.00001650	-0.00098394	-0.00061236	-0.00052660	
10.40000000	0.00142483	0.00144783	0.00181078	0.00156115	0.78089598	1.72736860	0.95581143	0.00038568	0.00045599	0.00005412	0.00029859	
10.50000000	0.00142483	0.00144783	0.00181078	0.00156115	0.78089598	1.72736860	0.95581143	0.00038568	0.00045599	0.00005412	0.00029859	
10.60000000	0.00123139	0.00105210	0.00065468	0.00097939	0.78066156	1.72721306	0.95593195	0.00015125	0.00030044	0.00017464	0.00020878	
10.70000000	0.00110415	0.00073597	0.00138066	0.00107359	0.78075694	1.72656290	0.95510218	0.00024664	-0.00034972	-0.00065514	-0.00025274	
10.80000000	0.00110415	0.00073597	0.00138066	0.00107359	0.78075694	1.72656290	0.95510218	0.00024664	-0.00034972	-0.00065514	-0.00025274	
10.90000000	0.00093372	0.00074066	0.00090797	0.00086078	0.78181888	1.72694371	0.95460681	0.00130857	0.00003110	-0.00115050	0.00006306	
11.00000000	0.00101183	0.00108556	0.00024874	0.00078204	0.78212121	1.72761654	0.95508379	0.00161091	0.00070392	-0.00067352	0.00054710	
11.10000000	0.00159787	0.00094707	0.00034560	0.00096351	0.78122780	1.72686819	0.95498615	0.00071749	-0.00004443	-0.00077116	-0.00003270	
11.20000000	0.00145659	0.00229560	0.00123855	0.00166358	0.78190119	1.72815342	0.95587846	0.00139088	0.00124080	0.00012114	0.00091761	
11.30000000	0.00135454	0.00097682	0.00065123	0.00099420	0.78149651	1.72672886	0.95434479	0.00098621	-0.00018376	-0.00141253	-0.00020336	
11.40000000	0.00178297	0.00174172	0.00097846	0.00150105	0.78086092	1.72619266	0.95490248	0.00035062	-0.00071996	-0.00085484	-0.00040806	
11.50000000	0.00119769	0.00225300	0.00094533	0.00146534	0.78036931	1.72700023	0.95634618	-0.00014099	0.00008762	0.00058887	0.00017850	
11.60000000	0.00066562	0.00173236	0.00129385	0.00123061	0.77979497	1.72635800	0.95630126	-0.00071534	-0.00055461	0.00054395	-0.00024200	
11.70000000	0.00020264	0.00135849	0.00069242	0.00075118	0.78037418	1.72644931	0.95522416	-0.00013612	-0.00046331	-0.00053316	-0.00037753	
11.80000000	0.00136201	0.00126027	0.00081225	0.00114484	0.78167490	1.72687462	0.95469032	0.00116459	-0.00003800	-0.00106699	0.00001987	
11.90000000	0.00038659	0.00151079	0.00089106	0.00092948	0.78047412	1.72660386	0.95583079	-0.00003619	-0.00030875	0.00007348	-0.00009049	
12.00000000	0.00096713	0.00176999	0.00095883	0.00123198	0.78103424	1.72659689	0.95522571	0.00052393	-0.00031572	-0.00053160	-0.00010780	
12.10000000	0.00018208	0.00064149	0.00090407	0.00057588	0.78047027	1.72616013	0.95514878	-0.00004003	-0.00075248	-0.00060853	-0.00046701	
12.20000000	0.00106102	0.00135722	0.00037971	0.00093265	0.77982013	1.72619050	0.95590308	-0.00069017	-0.00072211	0.00014577	-0.00042217	
12.30000000	0.00106102	0.00135722	0.00037971	0.00093265	0.77982013	1.72619050	0.95590308	-0.00069017	-0.00072211	0.00014577	-0.00042217	
12.40000000	0.00101074	0.00187867	0.00107217	0.00132053	0.78116356	1.72597381	0.95446696	0.00065326	-0.00093881	-0.00129036	-0.00052530	
12.50000000	0.00101074	0.00187867	0.00107217	0.00132053	0.78116356	1.72597381	0.95446696	0.00065326	-0.00093881	-0.00129036	-0.00052530	
12.60000000	0.00173012	0.00085134	0.00080730	0.00112959	0.78243194	1.72754208	0.95449393	0.00192163	0.00062947	-0.00126339	0.00042924	
12.70000000	0.00074303	0.00114268	0.00148358	0.00112310	0.78100495	1.72798082	0.95638633	0.00049465	0.00106820	0.00062901	0.00073062	
12.80000000	0.00087001	0.00189722	0.00102859	0.00126527	0.78193662	1.72669602	0.95447819	0.00142631	-0.00021659	-0.00127913	-0.00002314	
12.90000000	0.00075797	0.00084029	0.00117828	0.00092551	0.78168358	1.72630013	0.95394697	0.00117327	-0.00061249	-0.00181035	-0.00041652	
13.00000000	0.00084591	0.00082944	0.00031980	0.00066505	0.77995328	1.72696789	0.95631905	-0.00055703	0.00005527	0.00056174	0.00002000	
13.10000000	0.00055425	0.00163784	0.00050179	0.00089796	0.78017292	1.72707219	0.95652786	-0.00033738	0.00015958	0.00077055	0.00019758	
13.20000000	0.00090428	0.00050127	0.00082422	0.00074326	0.78109447	1.72706637	0.95515432	0.00058417	0.00015375	-0.00060299	0.00004498	
13.30000000	0.00076619	0.00099563	0.00191455	0.00122546	0.78138212	1.72866451	0.95661243	0.00087181	0.00175190	0.00085512	0.00115961	
