Time (s)	frameDisplacement_B1 (mm)	frameDisplacement_B2 (mm)	frameDisplacement_B3 (mm)	Avg. frameDisplacement (mm)	blobDistance_B12 (mm)	blobDistance_B13 (mm)	blobDistance_B23 (mm)	blobDisplacement_B12 (mm)	blobDisplacement_B13 (mm)	blobDisplacement_B23 (mm)	Avg. blobDisplacement (mm)
64.01000000	0.12880485	0.12399979	0.11636203	0.12305556	0.78563859	1.73956956	0.96341028	0.00512829	0.01265695	0.00765296	0.00847940	
65.01000000	0.13462728	0.12898435	0.12244305	0.12868489	0.78632690	1.73914470	0.96229325	0.00581660	0.01223208	0.00653593	0.00819487	
66.01000000	0.13928513	0.13513324	0.12697664	0.13379834	0.78465524	1.73922610	0.96391943	0.00414493	0.01231348	0.00816211	0.00820684	
67.01000000	0.14426422	0.14000496	0.13332500	0.13919806	0.78488997	1.73806674	0.96248337	0.00437967	0.01115412	0.00672605	0.00741995	
68.01000000	0.14891476	0.14467457	0.13595423	0.14318119	0.78529081	1.74004217	0.96444791	0.00478050	0.01312956	0.00869059	0.00886688	
69.01000000	0.15441666	0.15061192	0.14131896	0.14878252	0.78453746	1.74025850	0.96509991	0.00402716	0.01334588	0.00934260	0.00890521	
70.01000000	0.15978778	0.15519150	0.14678934	0.15392287	0.78443058	1.73992046	0.96426983	0.00392027	0.01300785	0.00851251	0.00848021	
71.01000000	0.16493661	0.16023927	0.15126005	0.15881198	0.78480533	1.74079341	0.96486847	0.00429502	0.01388080	0.00911115	0.00909566	
72.01000000	0.16959817	0.16524674	0.15556379	0.16346956	0.78480525	1.74142234	0.96562729	0.00429495	0.01450972	0.00986998	0.00955822	
73.01000000	0.17567104	0.17050401	0.16123032	0.16913512	0.78580343	1.74120636	0.96497014	0.00529313	0.01429374	0.00921283	0.00959990	
74.01000000	0.17938116	0.17490365	0.16521211	0.17316564	0.78516900	1.74134603	0.96551772	0.00465870	0.01443341	0.00976041	0.00961751	
75.01000000	0.18615487	0.18029790	0.17087833	0.17911037	0.78672106	1.74243808	0.96520282	0.00621075	0.01552546	0.00944551	0.01039391	
76.01000000	0.19093183	0.18582265	0.17533876	0.18403108	0.78609517	1.74241121	0.96611424	0.00558487	0.01549859	0.01035693	0.01048013	
77.01000000	0.19656195	0.18982169	0.17916794	0.18851720	0.78716859	1.74447293	0.96650562	0.00665829	0.01756032	0.01074831	0.01165564	
78.01000000	0.20027466	0.19494769	0.18445148	0.19322461	0.78571205	1.74280642	0.96631929	0.00520174	0.01589381	0.01056197	0.01055251	
79.01000000	0.20572327	0.19990646	0.19007136	0.19856703	0.78627316	1.74245661	0.96556975	0.00576286	0.01554400	0.00981243	0.01037309	
80.01000000	0.21129140	0.20534832	0.19421911	0.20361961	0.78666530	1.74405694	0.96687834	0.00615499	0.01714433	0.01112103	0.01147345	
81.01000000	0.21508921	0.20925170	0.19802475	0.20745522	0.78579858	1.74397251	0.96713014	0.00528828	0.01705989	0.01137282	0.01124033	
82.01000000	0.22118979	0.21369314	0.20434294	0.21307529	0.78729036	1.74398588	0.96537034	0.00678006	0.01707326	0.00961303	0.01115545	
83.01000000	0.22524674	0.21975200	0.20929262	0.21809712	0.78543804	1.74257497	0.96624140	0.00492774	0.01566235	0.01048408	0.01035806	
84.01000000	0.23079919	0.22431107	0.21254701	0.22255242	0.78715950	1.74527982	0.96754363	0.00664920	0.01836720	0.01178631	0.01226757	
85.01000000	0.23607238	0.22893912	0.21827147	0.22776099	0.78789941	1.74482626	0.96641589	0.00738910	0.01791365	0.01065858	0.01198711	
86.01000000	0.23985624	0.23360948	0.22183570	0.23176714	0.78740232	1.74542995	0.96760010	0.00689201	0.01851734	0.01184279	0.01241738	
87.01000000	0.24457333	0.23848703	0.22884063	0.23730033	0.78667505	1.74270916	0.96541900	0.00616475	0.01579654	0.00966168	0.01054099	
88.01000000	0.25007662	0.24341524	0.23248850	0.24199345	0.78719416	1.74472157	0.96678359	0.00668385	0.01780896	0.01102627	0.01183969	
89.01000000	0.25593462	0.24824690	0.23659611	0.24692588	0.78881892	1.74650993	0.96737254	0.00830862	0.01959731	0.01161522	0.01317372	
90.01000000	0.26026019	0.25243280	0.24026313	0.25098537	0.78913511	1.74779068	0.96812898	0.00862481	0.02087806	0.01237167	0.01395818	
91.01000000	0.26489711	0.25883563	0.24511965	0.25628413	0.78683017	1.74710153	0.96960531	0.00631987	0.02018891	0.01384800	0.01345226	
92.01000000	0.26944360	0.26229460	0.24878947	0.26017589	0.78840884	1.74813492	0.96933800	0.00789853	0.02122231	0.01358069	0.01423384	
93.01000000	0.27398402	0.26761291	0.25361780	0.26507158	0.78759799	1.74778980	0.96981474	0.00708768	0.02087719	0.01405742	0.01400743	
94.01000000	0.27974232	0.27097092	0.25773979	0.26948434	0.79001424	1.74983687	0.96920833	0.00950393	0.02292426	0.01345102	0.01529307	
95.01000000	0.28547204	0.27728197	0.26232476	0.27502626	0.78911793	1.75087419	0.97096013	0.00860762	0.02396157	0.01520282	0.01592400	
96.01000000	0.28970532	0.28020722	0.26659359	0.27883538	0.79052136	1.75089913	0.96960461	0.01001105	0.02398652	0.01384730	0.01594829	
97.01000000	0.29529198	0.28597714	0.26961716	0.28362876	0.78978824	1.75373708	0.97255207	0.00927794	0.02682447	0.01679475	0.01763239	
98.01000000	0.30220855	0.29074364	0.27346913	0.28880710	0.79214668	1.75681487	0.97339977	0.01163637	0.02990226	0.01764245	0.01972703	
99.01000000	0.30736605	0.29633694	0.27648317	0.29339538	0.79224702	1.75900874	0.97590507	0.01173671	0.03209613	0.02014776	0.02132687	
100.01000000	0.31338055	0.30022680	0.28026854	0.29795863	0.79401074	1.76114909	0.97599557	0.01350043	0.03423647	0.02023825	0.02265839	
101.01000000	0.32081431	0.30623061	0.28191545	0.30298679	0.79531629	1.76713050	0.98043517	0.01480598	0.04021789	0.02467786	0.02656724	
102.01000000	0.32562273	0.31086480	0.28579743	0.30742832	0.79576087	1.76795158	0.98112049	0.01525056	0.04103896	0.02536317	0.02721757	
103.01000000	0.33432876	0.31543364	0.28842365	0.31272868	0.79980497	1.77427918	0.98314209	0.01929466	0.04736657	0.02738477	0.03134867	
104.01000000	0.34031589	0.32055484	0.29098348	0.31728474	0.80069097	1.77772966	0.98571698	0.02018066	0.05081705	0.02995967	0.03365246	
105.01000000	0.34693409	0.32528110	0.29299452	0.32173657	0.80189166	1.78205907	0.98842736	0.02138135	0.05514645	0.03267005	0.03639928	
106.01000000	0.35514129	0.33192597	0.29778793	0.32828506	0.80388055	1.78544402	0.99019436	0.02337025	0.05853141	0.03443705	0.03877957	
107.01000000	0.36137626	0.33640043	0.29977654	0.33251774	0.80459702	1.78923609	0.99264371	0.02408671	0.06232347	0.03688640	0.04109886	
108.01000000	0.36803242	0.34116918	0.30378786	0.33766315	0.80685708	1.79170477	0.99329262	0.02634678	0.06479216	0.03753530	0.04289141	
109.01000000	0.37417860	0.34527925	0.30587423	0.34177736	0.80902032	1.79593375	0.99533861	0.02851002	0.06902114	0.03958130	0.04570415	
110.01000000	0.38243186	0.35244675	0.30788902	0.34758921	0.81026038	1.80217341	1.00048171	0.02975008	0.07526080	0.04472439	0.04991176	
111.01000000	0.38910771	0.35600567	0.30947038	0.35152792	0.81284839	1.80728880	1.00250340	0.03233808	0.08037618	0.04674609	0.05315345	
112.01000000	0.39541046	0.36215629	0.31351120	0.35702598	0.81298048	1.80947454	1.00457694	0.03247018	0.08256192	0.04881962	0.05461724	
113.01000000	0.40271745	0.36647311	0.31699364	0.36206140	0.81589844	1.81309234	1.00535769	0.03538813	0.08617972	0.04960038	0.05705608	
114.01000000	0.40908676	0.37121743	0.31763372	0.36597931	0.81736454	1.81896206	1.00948663	0.03685423	0.09204945	0.05372932	0.06087767	
115.01000000	0.41551546	0.37664686	0.32130682	0.37115638	0.81820845	1.82158201	1.01120036	0.03769814	0.09466940	0.05544305	0.06260353	
116.01000000	0.42304574	0.38102074	0.32378702	0.37595117	0.82137358	1.82652429	1.01305496	0.04086327	0.09961168	0.05729765	0.06592420	
117.01000000	0.43082662	0.38604247	0.32546343	0.38077751	0.82438772	1.83260974	1.01640400	0.04387741	0.10569713	0.06064669	0.07007374	
118.01000000	0.43807864	0.39031417	0.32718911	0.38519397	0.82696401	1.83808517	1.01894779	0.04645370	0.11117255	0.06319047	0.07360558	
119.01000000	0.44486541	0.39550340	0.32777587	0.38938156	0.82865610	1.84441687	1.02355437	0.04814579	0.11750425	0.06779706	0.07781570	
120.01000000	0.45245435	0.40187293	0.33132635	0.39521788	0.82918265	1.84826373	1.02633221	0.04867234	0.12135111	0.07057490	0.08019945	
121.01000000	0.46087185	0.40535036	0.33372446	0.39998222	0.83448448	1.85439451	1.02746270	0.05397418	0.12748190	0.07170539	0.08438715	
122.01000000	0.46860128	0.41081377	0.33461826	0.40467777	0.83657327	1.86140462	1.03206368	0.05606297	0.13449200	0.07630636	0.08895378	
