Project Title : exSitu_35Zr39Ti25Nb 
Material : 35Zr39Ti25Nb 
Informations :  
Date : 17/05/2019 
Type test : Tension / Compression 
Control Mod : Manual 
Section : Rectangular 
Width(mm) : 2.210000 
Total Length(mm) : 50.000000 
Gauge Length(mm) : 5.100000 
Thickness(mm) : 0.950000 
====================================================================================================
Time (s) 	Speed (µm/s) 	Traverse Speed (µm/s) 	Displacement (µm) 	Force (N) 	Real Speed (µm/s) 	Cal. Force (V) 	Stress (Mpa) 	Elongation (%) 	Speed Controller Input Voltage (V) 	
6.600000 	5.000000 	5.000000 	-543.100000 	5.097566 	0.007857 	2.462565 	2.427990 	-10.649020 	1.377600 	
6.700000 	5.000000 	5.000000 	-543.100000 	4.860928 	0.007838 	2.462368 	2.315279 	-10.649020 	1.377600 	
6.800000 	5.000000 	5.000000 	-543.100000 	5.097566 	0.007297 	2.462565 	2.427990 	-10.649020 	1.377600 	
6.900000 	5.000000 	5.000000 	-543.100000 	4.900368 	0.007222 	2.462400 	2.334064 	-10.649020 	1.377600 	
7.000000 	5.000000 	5.000000 	-543.100000 	4.969387 	0.005815 	2.462458 	2.366938 	-10.649020 	1.377600 	
7.100000 	5.000000 	5.000000 	-543.100000 	4.949667 	0.005880 	2.462442 	2.357546 	-10.649020 	1.377600 	
7.200000 	5.000000 	5.000000 	-543.100000 	4.851068 	0.006700 	2.462359 	2.310583 	-10.649020 	1.377600 	
7.300000 	5.000000 	5.000000 	-543.100000 	5.117286 	0.006282 	2.462581 	2.437383 	-10.649020 	1.377600 	
7.400000 	5.000000 	5.000000 	-543.100000 	5.166585 	0.006878 	2.462622 	2.460865 	-10.649020 	1.377600 	
7.500000 	5.000000 	5.000000 	-543.100000 	5.324343 	0.007167 	2.462754 	2.536005 	-10.649020 	1.377600 	
7.600000 	5.000000 	5.000000 	-543.100000 	5.531401 	0.006347 	2.462926 	2.634628 	-10.649020 	1.377600 	
7.700000 	5.000000 	5.000000 	-543.100000 	5.255324 	0.008331 	2.462696 	2.503131 	-10.649020 	1.377600 	
7.800000 	5.000000 	5.000000 	-543.100000 	5.235604 	0.008992 	2.462680 	2.493739 	-10.649020 	1.377600 	
7.900000 	5.000000 	5.000000 	-543.100000 	5.265184 	0.009608 	2.462704 	2.507828 	-10.649020 	1.377600 	
8.000000 	5.000000 	5.000000 	-543.100000 	4.939808 	0.010120 	2.462433 	2.352850 	-10.649020 	1.377600 	
8.100000 	5.000000 	5.000000 	-543.100000 	5.038406 	0.008639 	2.462515 	2.399813 	-10.649020 	1.377600 	
8.200000 	5.000000 	5.000000 	-543.100000 	5.058126 	0.008564 	2.462532 	2.409205 	-10.649020 	1.377600 	
8.300000 	5.000000 	5.000000 	-543.100000 	5.117286 	0.008052 	2.462581 	2.437383 	-10.649020 	1.377600 	
8.400000 	5.000000 	5.000000 	-543.100000 	5.334203 	0.007102 	2.462762 	2.540702 	-10.649020 	1.377600 	
8.500000 	5.000000 	5.000000 	-543.100000 	5.284904 	0.006207 	2.462721 	2.517220 	-10.649020 	1.377600 	
8.600000 	5.000000 	5.000000 	-543.100000 	5.146865 	0.005387 	2.462606 	2.451472 	-10.649020 	1.377600 	
8.700000 	5.000000 	5.000000 	-543.100000 	5.097566 	0.004622 	2.462565 	2.427990 	-10.649020 	1.377600 	
8.800000 	5.000000 	5.000000 	-543.100000 	4.939808 	0.004529 	2.462433 	2.352850 	-10.649020 	1.377600 	
8.900000 	5.000000 	5.000000 	-543.100000 	4.801769 	0.005955 	2.462318 	2.287101 	-10.649020 	1.377600 	
9.000000 	5.000000 	5.000000 	-543.100000 	4.811629 	0.006775 	2.462327 	2.291798 	-10.649020 	1.377600 	
9.100000 	5.000000 	5.000000 	-543.100000 	4.604571 	0.007754 	2.462154 	2.193175 	-10.649020 	1.377600 	
9.200000 	5.000000 	5.000000 	-543.100000 	4.742610 	0.008211 	2.462269 	2.258923 	-10.649020 	1.377600 	
9.300000 	5.000000 	5.000000 	-543.100000 	4.920088 	0.006924 	2.462417 	2.343457 	-10.649020 	1.377600 	
9.400000 	5.000000 	5.000000 	-543.100000 	5.038406 	0.006477 	2.462515 	2.399813 	-10.649020 	1.377600 	
9.500000 	5.000000 	5.000000 	-543.100000 	5.156725 	0.006607 	2.462614 	2.456168 	-10.649020 	1.377600 	
9.600000 	5.000000 	5.000000 	-543.100000 	5.107426 	0.007203 	2.462573 	2.432687 	-10.649020 	1.377600 	
9.700000 	5.000000 	5.000000 	-543.100000 	5.255324 	0.007679 	2.462696 	2.503131 	-10.649020 	1.377600 	
9.800000 	5.000000 	5.000000 	-543.100000 	5.087706 	0.007735 	2.462557 	2.423294 	-10.649020 	1.377600 	
9.900000 	5.000000 	5.000000 	-543.100000 	5.225744 	0.006869 	2.462672 	2.489042 	-10.649020 	1.377600 	
10.000000 	5.000000 	5.000000 	-543.100000 	5.196165 	0.005984 	2.462647 	2.474953 	-10.649020 	1.377600 	
10.100000 	5.000000 	5.000000 	-543.100000 	5.215885 	0.005890 	2.462663 	2.484346 	-10.649020 	1.377600 	
10.200000 	5.000000 	5.000000 	-543.100000 	5.511681 	0.006282 	2.462910 	2.625235 	-10.649020 	1.377600 	
10.300000 	5.000000 	5.000000 	-543.100000 	5.127146 	0.006272 	2.462589 	2.442079 	-10.649020 	1.377600 	
10.400000 	5.000000 	5.000000 	-543.100000 	5.038406 	0.007381 	2.462515 	2.399813 	-10.649020 	1.377600 	
10.500000 	5.000000 	5.000000 	-543.100000 	5.107426 	0.008211 	2.462573 	2.432687 	-10.649020 	1.377600 	
10.600000 	5.000000 	5.000000 	-543.100000 	4.851068 	0.007763 	2.462359 	2.310583 	-10.649020 	1.377600 	
10.700000 	5.000000 	5.000000 	-543.100000 	4.929948 	0.008593 	2.462425 	2.348153 	-10.649020 	1.377600 	
10.800000 	5.000000 	5.000000 	-543.200000 	4.949667 	0.008603 	2.462442 	2.357546 	-10.650980 	1.377600 	
10.900000 	5.000000 	5.000000 	-543.100000 	5.067986 	0.008314 	2.462540 	2.413901 	-10.649020 	1.377600 	
11.000000 	5.000000 	5.000000 	-543.200000 	5.048266 	0.008817 	2.462524 	2.404509 	-10.650980 	1.377600 	
11.100000 	5.000000 	5.000000 	-543.100000 	5.265184 	0.007987 	2.462704 	2.507828 	-10.649020 	1.377600 	
11.200000 	5.000000 	5.000000 	-543.100000 	5.245464 	0.008192 	2.462688 	2.498435 	-10.649020 	1.377600 	
11.300000 	5.000000 	5.000000 	-543.200000 	5.018687 	0.009375 	2.462499 	2.390420 	-10.650980 	1.377600 	
11.400000 	5.000000 	5.000000 	-543.100000 	5.166585 	0.009021 	2.462622 	2.460865 	-10.649020 	1.377600 	
11.500000 	5.000000 	5.000000 	-543.100000 	4.989107 	0.009002 	2.462474 	2.376331 	-10.649020 	1.377600 	
11.600000 	5.000000 	5.000000 	-543.100000 	5.127146 	0.007838 	2.462589 	2.442079 	-10.649020 	1.377600 	
11.700000 	5.000000 	5.000000 	-543.100000 	5.008827 	0.005592 	2.462491 	2.385724 	-10.649020 	1.377600 	
11.800000 	5.000000 	5.000000 	-543.200000 	4.870788 	0.005890 	2.462376 	2.319975 	-10.650980 	1.377600 	
11.900000 	5.000000 	5.000000 	-543.100000 	4.998967 	0.005332 	2.462483 	2.381027 	-10.649020 	1.377600 	
12.000000 	5.000000 	5.000000 	-543.200000 	4.732750 	0.005695 	2.462261 	2.254227 	-10.650980 	1.377600 	
12.100000 	5.000000 	5.000000 	-543.100000 	4.880648 	0.005555 	2.462384 	2.324672 	-10.649020 	1.377600 	
12.200000 	5.000000 	5.000000 	-543.200000 	4.870788 	0.006943 	2.462376 	2.319975 	-10.650980 	1.377600 	
12.300000 	5.000000 	5.000000 	-543.200000 	4.683450 	0.007660 	2.462220 	2.230746 	-10.650980 	1.377600 	
12.400000 	5.000000 	5.000000 	-543.200000 	4.920088 	0.007222 	2.462417 	2.343457 	-10.650980 	1.377600 	
12.500000 	5.000000 	5.000000 	-543.200000 	4.772189 	0.008648 	2.462294 	2.273012 	-10.650980 	1.377600 	
12.600000 	5.000000 	5.000000 	-543.200000 	4.949667 	0.006366 	2.462442 	2.357546 	-10.650980 	1.377600 	
12.700000 	5.000000 	5.000000 	-543.200000 	5.067986 	0.007037 	2.462540 	2.413901 	-10.650980 	1.377600 	
12.800000 	5.000000 	5.000000 	-543.200000 	5.028547 	0.008350 	2.462507 	2.395116 	-10.650980 	1.377600 	
12.900000 	5.000000 	5.000000 	-543.200000 	4.929948 	0.007809 	2.462425 	2.348153 	-10.650980 	1.377600 	
13.000000 	5.000000 	5.000000 	-543.100000 	4.841209 	0.008172 	2.462351 	2.305886 	-10.649020 	1.377600 	
13.100000 	5.000000 	5.000000 	-543.100000 	4.939808 	0.007884 	2.462433 	2.352850 	-10.649020 	1.377600 	
13.200000 	5.000000 	5.000000 	-543.100000 	4.860928 	0.006830 	2.462368 	2.315279 	-10.649020 	1.377600 	
